id	symbol	display_name	current_category	proposed_category	evidence	rationale
11	ABILITY_WATER_ABSORB	Water Absorb	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:2448, src/battle_ai_main.c:3579, src/battle_ai_main.c:6586, src/battle_ai_switch.c:623	Pinned description: Changes water into HP. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
12	ABILITY_OBLIVIOUS	Oblivious	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4214, src/battle_util.c:9094, src/battle_script_commands.c:11606, src/battle_script_commands.c:11609	Pinned description: Prevents attraction. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
13	ABILITY_CLOUD_NINE	Cloud Nine	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:10063, src/battle_util.c:3473, src/battle_script_commands.c:13506, src/battle_ai_util.c:1926	Pinned description: Negates weather effects. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
14	ABILITY_COMPOUND_EYES	Compound Eyes	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:10483, src/battle_ai_util.c:6160, src/pokemon.c:8381	Pinned description: Raises accuracy. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
15	ABILITY_INSOMNIA	Insomnia	PROVEN_NO_DAMAGE_EFFECT	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:5482, src/battle_util.c:9068, src/battle_move_resolution.c:1202, src/battle_end_turn.c:871	Pinned description: Prevents sleep. Pinned battle paths affect no direct-damage operand or modifier; ability identity is read from the live battler.
16	ABILITY_COLOR_CHANGE	Color Change	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:3850	Pinned description: Changes type to foe's move. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
17	ABILITY_IMMUNITY	Immunity	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:5413, src/battle_util.c:9046, src/battle_ai_switch.c:1545, src/battle_ai_switch.c:1756	Pinned description: Prevents poisoning. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
18	ABILITY_FLASH_FIRE	Flash Fire	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:10737, src/battle_util.c:2481, src/battle_util.c:7006, src/battle_ai_main.c:3662	Pinned description: Powers up if hit by fire. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
19	ABILITY_SHIELD_DUST	Shield Dust	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:9993, src/battle_ai_util.c:2379, src/battle_ai_util.c:3766, src/battle_ai_util.c:3828	Pinned description: Prevents added effects. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
20	ABILITY_OWN_TEMPO	Own Tempo	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:1113, src/battle_util.c:5603, src/battle_util.c:9054, src/battle_script_commands.c:13353	Pinned description: Prevents confusion. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
21	ABILITY_SUCTION_CUPS	Suction Cups	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_move_resolution.c:3117, src/battle_ai_main.c:1808, src/battle_ai_main.c:4639, src/fishing.c:499	Pinned description: Firmly anchors the body. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
22	ABILITY_INTIMIDATE	Intimidate	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:3451, src/battle_ai_switch.c:2089, src/battle_ai_util.c:6192, src/battle_pike.c:1770	Pinned description: Lowers the foe's Attack. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
23	ABILITY_SHADOW_TAG	Shadow Tag	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:5082, src/battle_ai_switch.c:2059, src/battle_ai_switch.c:2061, src/battle_ai_util.c:1841	Pinned description: Prevents the foe's escape. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
24	ABILITY_ROUGH_SKIN	Rough Skin	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:4047, src/battle_ai_util.c:1335	Pinned description: Hurts to touch. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
25	ABILITY_WONDER_GUARD	Wonder Guard	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:8421, src/battle_util.c:8479, src/battle_util.c:8523, src/battle_ai_main.c:1305	Pinned description: Only “Supereffective” hits. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
26	ABILITY_LEVITATE	Levitate	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:6014, src/battle_util.c:8385, src/battle_util.c:8388, src/battle_util.c:8390	Pinned description: Not hit by Ground attacks. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
27	ABILITY_EFFECT_SPORE	Effect Spore	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4102	Pinned description: Leaves spores on contact. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
28	ABILITY_SYNCHRONIZE	Synchronize	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4668, src/battle_util.c:4673, src/battle_util.c:4688, src/battle_util.c:4700	Pinned description: Passes on status problems. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
29	ABILITY_CLEAR_BODY	Clear Body	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_script_commands.c:11799, src/battle_ai_main.c:3055, src/battle_ai_util.c:2375, src/battle_ai_util.c:6151	Pinned description: Prevents ability reduction. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
30	ABILITY_NATURAL_CURE	Natural Cure	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_script_commands.c:10224, src/battle_ai_main.c:4387, src/battle_ai_switch.c:804, src/battle_ai_switch.c:954	Pinned description: Heals upon switching out. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
31	ABILITY_LIGHTNING_ROD	Lightning Rod	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:2461, src/battle_move_resolution.c:810, src/battle_move_resolution.c:835, src/battle_ai_main.c:1361	Pinned description: Draws electrical moves. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
32	ABILITY_SERENE_GRACE	Serene Grace	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:9672, src/battle_hold_effects.c:210, src/battle_ai_util.c:3773, src/battle_ai_util.c:5119	Pinned description: Promotes added effects. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
33	ABILITY_SWIFT_SWIM	Swift Swim	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_main.c:4946, src/battle_ai_field_statuses.c:165, src/battle_ai_main.c:3991	Pinned description: Raises Speed in rain. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
34	ABILITY_CHLOROPHYLL	Chlorophyll	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_main.c:4948, src/battle_ai_field_statuses.c:167, src/battle_ai_main.c:3999	Pinned description: Raises Speed in sunshine. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
35	ABILITY_ILLUMINATE	Illuminate	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:10452, src/battle_script_commands.c:7712, src/battle_script_commands.c:7877, src/battle_ai_switch.c:820	Pinned description: Encounter rate increases. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
36	ABILITY_TRACE	Trace	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:3097, src/battle_ai_switch.c:2313, src/battle_ai_switch.c:758	Pinned description: Copies special ability. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
37	ABILITY_HUGE_POWER	Huge Power	UNSUPPORTED_DAMAGE_RELEVANT	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:6989, src/battle_ai_util.c:6181	Pinned description: Raises Attack. Pinned stat modifier or ability interaction diverges in ordering/rounding from the embedded calculator; fail closed.
38	ABILITY_POISON_POINT	Poison Point	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4146	Pinned description: Poisons foe on contact. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
39	ABILITY_INNER_FOCUS	Inner Focus	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_script_commands.c:13351, src/battle_script_commands.c:2552, src/battle_script_commands.c:2558, src/battle_script_commands.c:2560	Pinned description: Prevents flinching. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
40	ABILITY_MAGMA_ARMOR	Magma Armor	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:5498, src/battle_util.c:9087, src/battle_pike.c:954, src/egg_hatch.c:991	Pinned description: Prevents freezing. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
41	ABILITY_WATER_VEIL	Water Veil	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:5447, src/battle_util.c:9078, src/battle_pike.c:958, src/pokemon.c:5536	Pinned description: Prevents burns. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
42	ABILITY_MAGNET_PULL	Magnet Pull	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:5088, src/battle_ai_switch.c:2068, src/battle_ai_util.c:1841, src/battle_ai_util.c:502	Pinned description: Traps Steel-type Pokémon. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
43	ABILITY_SOUNDPROOF	Soundproof	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:2485, src/battle_script_commands.c:12811, src/battle_script_commands.c:12813, src/battle_script_commands.c:13005	Pinned description: Avoids sound-based moves. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
44	ABILITY_RAIN_DISH	Rain Dish	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:3691, src/battle_util.c:3696, src/battle_end_turn.c:124, src/battle_ai_field_statuses.c:164	Pinned description: Slight HP recovery in rain. Pinned use affects a secondary contact/status, end-turn recovery, speed after a hit, or accuracy; the live HP/status/stat snapshot captures earlier effects and the ability adds no modifier to this ordinary direct hit.
45	ABILITY_SAND_STREAM	Sand Stream	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:3368, src/battle_ai_util.c:1938	Pinned description: Summons a sandstorm. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
46	ABILITY_PRESSURE	Pressure	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:3306, src/battle_move_resolution.c:957, src/battle_move_resolution.c:962, src/wild_encounter.c:365	Pinned description: Raises foe's PP usage. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
47	ABILITY_THICK_FAT	Thick Fat	UNSUPPORTED_DAMAGE_RELEVANT	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:7121, src/battle_util.c:7126	Pinned description: Heat-and-cold protection. Pinned stat modifier or ability interaction diverges in ordering/rounding from the embedded calculator; fail closed.
48	ABILITY_EARLY_BIRD	Early Bird	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_move_resolution.c:127, src/battle_ai_main.c:4718, src/battle_ai_switch.c:806, src/battle_ai_util.c:3867	Pinned description: Awakens quickly from sleep. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
49	ABILITY_FLAME_BODY	Flame Body	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4190, src/egg_hatch.c:992, src/pokemon.c:5538	Pinned description: Burns the foe on contact. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
50	ABILITY_RUN_AWAY	Run Away	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:572, src/battle_util.c:581, src/battle_util.c:588, src/battle_util.c:687	Pinned description: Makes escaping easier. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
51	ABILITY_KEEN_EYE	Keen Eye	PROVEN_NO_DAMAGE_EFFECT	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:10451, src/battle_script_commands.c:7711, src/battle_script_commands.c:7876, src/battle_ai_switch.c:818	Pinned description: Prevents loss of accuracy. Pinned battle paths affect no direct-damage operand or modifier; ability identity is read from the live battler.
52	ABILITY_HYPER_CUTTER	Hyper Cutter	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_script_commands.c:7713, src/battle_script_commands.c:7878, src/battle_ai_util.c:2357, src/fldeff_cut.c:167	Pinned description: Prevents Attack reduction. Pinned battle_script_commands.c prevents or reflects a stat-stage decrease; the resulting live stat stages are read before the direct hit. No current-hit damage modifier is applied by this ability.
53	ABILITY_PICKUP	Pickup	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:3655, src/battle_script_commands.c:10289, src/battle_script_commands.c:10456, src/battle_end_turn.c:1275	Pinned description: May pick up items. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
54	ABILITY_TRUANT	Truant	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:3778, src/battle_move_resolution.c:253, src/battle_script_commands.c:5836, src/battle_end_turn.c:1268	Pinned description: Moves only every two turns. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
55	ABILITY_HUSTLE	Hustle	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:10489, src/battle_util.c:7048, src/battle_ai_field_statuses.c:458, src/wild_encounter.c:365	Pinned description: Trades accuracy for power. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
56	ABILITY_CUTE_CHARM	Cute Charm	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4206, src/ow_abilities.c:91	Pinned description: Infatuates on contact. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
57	ABILITY_PLUS	Plus	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:7026, src/battle_util.c:7031, src/battle_util.c:7039, src/battle_ai_main.c:1637	Pinned description: Powers up with Minus. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
58	ABILITY_MINUS	Minus	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:7030, src/battle_util.c:7035, src/battle_util.c:7040, src/battle_ai_main.c:1637	Pinned description: Powers up with Plus. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
59	ABILITY_FORECAST	Forecast	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:4849, src/battle_ai_field_statuses.c:148	Pinned description: Changes with the weather. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
60	ABILITY_STICKY_HOLD	Sticky Hold	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4538, src/battle_move_resolution.c:3046, src/battle_move_resolution.c:3086, src/battle_move_resolution.c:3500	Pinned description: Prevents item theft. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
61	ABILITY_SHED_SKIN	Shed Skin	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:3709, src/battle_end_turn.c:373, src/battle_ai_main.c:4717, src/battle_ai_switch.c:805	Pinned description: Heals the body by shedding. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
62	ABILITY_GUTS	Guts	UNSUPPORTED_DAMAGE_RELEVANT	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:7056, src/battle_util.c:7465, src/battle_ai_util.c:3586, src/battle_ai_util.c:6177	Pinned description: Ups Attack if suffering. Pinned stat modifier or ability interaction diverges in ordering/rounding from the embedded calculator; fail closed.
63	ABILITY_MARVEL_SCALE	Marvel Scale	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:7279, src/battle_util.c:7284, src/battle_ai_util.c:3583, src/pokemon.c:5543	Pinned description: Ups Defense if suffering. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
64	ABILITY_LIQUID_OOZE	Liquid Ooze	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_move_resolution.c:2170, src/battle_end_turn.c:448, src/battle_ai_main.c:1884, src/battle_ai_main.c:4760	Pinned description: Draining causes injury. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
65	ABILITY_OVERGROW	Overgrow	MODELLED_HNS_CONDITIONAL	MODELLED_HNS_CONDITIONAL	src/battle_util.c:7022	Pinned description: Ups Grass moves in a pinch. Pinned CalcAttackStat pinch modifier is modelled with authoritative live HP; irrelevant defender and wrong-type attacker cases are proven at the request boundary.
66	ABILITY_BLAZE	Blaze	MODELLED_HNS_CONDITIONAL	MODELLED_HNS_CONDITIONAL	src/battle_util.c:7018	Pinned description: Ups Fire moves in a pinch. Pinned CalcAttackStat pinch modifier is modelled with authoritative live HP; irrelevant defender and wrong-type attacker cases are proven at the request boundary.
67	ABILITY_TORRENT	Torrent	MODELLED_HNS_CONDITIONAL	MODELLED_HNS_CONDITIONAL	src/battle_util.c:7014	Pinned description: Ups Water moves in a pinch. Pinned CalcAttackStat pinch modifier is modelled with authoritative live HP; irrelevant defender and wrong-type attacker cases are proven at the request boundary.
68	ABILITY_SWARM	Swarm	MODELLED_HNS_CONDITIONAL	MODELLED_HNS_CONDITIONAL	src/battle_util.c:7010, src/overworld.c:1523	Pinned description: Ups Bug moves in a pinch. Pinned CalcAttackStat pinch modifier is modelled with authoritative live HP; irrelevant defender and wrong-type attacker cases are proven at the request boundary.
69	ABILITY_ROCK_HEAD	Rock Head	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_move_resolution.c:2979, src/battle_ai_util.c:1028	Pinned description: Prevents recoil damage. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
70	ABILITY_DROUGHT	Drought	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:3383, src/battle_ai_util.c:1936	Pinned description: Summons sunlight in battle. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
71	ABILITY_ARENA_TRAP	Arena Trap	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:5085, src/battle_ai_switch.c:2066, src/battle_ai_util.c:1841, src/battle_ai_util.c:499	Pinned description: Prevents fleeing. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
